,library,sample,protocol,platform,lab,batch,rep,sample_rep
114,P_ILM_L8_B1_D6_3,D6,P,ILM,L8,P_ILM_L8_B1,3,D6_3
115,P_ILM_L8_B1_F7_1,F7,P,ILM,L8,P_ILM_L8_B1,1,F7_1
116,P_ILM_L8_B1_F7_2,F7,P,ILM,L8,P_ILM_L8_B1,2,F7_2
117,P_ILM_L8_B1_F7_3,F7,P,ILM,L8,P_ILM_L8_B1,3,F7_3
118,P_ILM_L8_B1_M8_1,M8,P,ILM,L8,P_ILM_L8_B1,1,M8_1
119,P_ILM_L8_B1_M8_2,M8,P,ILM,L8,P_ILM_L8_B1,2,M8_2
120,P_ILM_L8_B1_M8_3,M8,P,ILM,L8,P_ILM_L8_B1,3,M8_3
121,R_ILM_L1_B1_D5_1,D5,R,ILM,L1,R_ILM_L1_B1,1,D5_1
122,R_ILM_L1_B1_D5_2,D5,R,ILM,L1,R_ILM_L1_B1,2,D5_2
123,R_ILM_L1_B1_D5_3,D5,R,ILM,L1,R_ILM_L1_B1,3,D5_3
124,R_ILM_L1_B1_D6_1,D6,R,ILM,L1,R_ILM_L1_B1,1,D6_1
125,R_ILM_L1_B1_D6_2,D6,R,ILM,L1,R_ILM_L1_B1,2,D6_2
126,R_ILM_L1_B1_D6_3,D6,R,ILM,L1,R_ILM_L1_B1,3,D6_3
127,R_ILM_L1_B1_F7_1,F7,R,ILM,L1,R_ILM_L1_B1,1,F7_1
128,R_ILM_L1_B1_F7_2,F7,R,ILM,L1,R_ILM_L1_B1,2,F7_2
129,R_ILM_L1_B1_F7_3,F7,R,ILM,L1,R_ILM_L1_B1,3,F7_3
130,R_ILM_L1_B1_M8_1,M8,R,ILM,L1,R_ILM_L1_B1,1,M8_1
131,R_ILM_L1_B1_M8_2,M8,R,ILM,L1,R_ILM_L1_B1,2,M8_2
132,R_ILM_L1_B1_M8_3,M8,R,ILM,L1,R_ILM_L1_B1,3,M8_3
133,R_ILM_L2_B1_D5_1,D5,R,ILM,L2,R_ILM_L2_B1,1,D5_1
134,R_ILM_L2_B2_D5_1,D5,R,ILM,L2,R_ILM_L2_B2,1,D5_1
135,R_ILM_L2_B1_D5_2,D5,R,ILM,L2,R_ILM_L2_B1,2,D5_2
